Position Holder,LEI of Position Holder,Share Issuer,LEI of Share Issuer,ISIN,Net Short Position (%),Position Date
Citadel Advisors LLC,549300SHI4D0QGWI8X45,INDUSTRIE DE NORA SPA,815600CD933CB2F89862,IT0005186371,0.49,06/03/2024
Citadel Advisors LLC,549300SHI4D0QGWI8X45,INDUSTRIE DE NORA SPA,815600CD933CB2F89862,IT0005186371,0.5,28/03/2024
Citadel Advisors LLC,549300SHI4D0QGWI8X45,INDUSTRIE DE NORA SPA,815600CD933CB2F89862,IT0005186371,0.61,22/05/2024
Citadel Advisors LLC,549300SHI4D0QGWI8X45,INDUSTRIE DE NORA SPA,815600CD933CB2F89862,IT0005186371,0.59,03/06/2024
Citadel Advisors LLC,549300SHI4D0QGWI8X45,INDUSTRIE DE NORA SPA,815600CD933CB2F89862,IT0005186371,0.47,14/06/2024
Citadel Advisors LLC,549300SHI4D0QGWI8X45,INDUSTRIE DE NORA SPA,815600CD933CB2F89862,IT0005186371,0.54,08/08/2024
Citadel Advisors LLC,549300SHI4D0QGWI8X45,INDUSTRIE DE NORA SPA,815600CD933CB2F89862,IT0005186371,0.48,30/08/2024
"Cubist Systematic Strategies, LLC",549300A1ZLHM70N6U553,INDUSTRIE DE NORA SPA,815600CD933CB2F89862,IT0005186371,0.5,26/03/2025
"Cubist Systematic Strategies, LLC",549300A1ZLHM70N6U553,INDUSTRIE DE NORA SPA,815600CD933CB2F89862,IT0005186371,0.48,31/03/2025
ENVESTRA CAPITAL LLP,213800ZDALW8Y45E9H34,INDUSTRIE DE NORA SPA,815600CD933CB2F89862,IT0005186371,0.51,18/03/2024
ENVESTRA CAPITAL LLP,213800ZDALW8Y45E9H34,INDUSTRIE DE NORA SPA,815600CD933CB2F89862,IT0005186371,0.67,03/04/2024
ENVESTRA CAPITAL LLP,213800ZDALW8Y45E9H34,INDUSTRIE DE NORA SPA,815600CD933CB2F89862,IT0005186371,0.73,07/05/2024
ENVESTRA CAPITAL LLP,213800ZDALW8Y45E9H34,INDUSTRIE DE NORA SPA,815600CD933CB2F89862,IT0005186371,0.86,11/06/2024
ENVESTRA CAPITAL LLP,213800ZDALW8Y45E9H34,INDUSTRIE DE NORA SPA,815600CD933CB2F89862,IT0005186371,0.92,12/06/2024
ENVESTRA CAPITAL LLP,213800ZDALW8Y45E9H34,INDUSTRIE DE NORA SPA,815600CD933CB2F89862,IT0005186371,1.03,17/06/2024
ENVESTRA CAPITAL LLP,213800ZDALW8Y45E9H34,INDUSTRIE DE NORA SPA,815600CD933CB2F89862,IT0005186371,0.56,01/08/2024
ENVESTRA CAPITAL LLP,213800ZDALW8Y45E9H34,INDUSTRIE DE NORA SPA,815600CD933CB2F89862,IT0005186371,0.47,05/08/2024
Ennismore Fund Management Limited,213800S2TA8P2U4L5P50,INDUSTRIE DE NORA SPA,815600CD933CB2F89862,IT0005186371,0.55,12/07/2022
Ennismore Fund Management Limited,213800S2TA8P2U4L5P50,INDUSTRIE DE NORA SPA,815600CD933CB2F89862,IT0005186371,0.64,14/07/2022
Ennismore Fund Management Limited,213800S2TA8P2U4L5P50,INDUSTRIE DE NORA SPA,815600CD933CB2F89862,IT0005186371,0.7,18/07/2022
Ennismore Fund Management Limited,213800S2TA8P2U4L5P50,INDUSTRIE DE NORA SPA,815600CD933CB2F89862,IT0005186371,0.87,22/07/2022
Ennismore Fund Management Limited,213800S2TA8P2U4L5P50,INDUSTRIE DE NORA SPA,815600CD933CB2F89862,IT0005186371,0.98,25/07/2022
Ennismore Fund Management Limited,213800S2TA8P2U4L5P50,INDUSTRIE DE NORA SPA,815600CD933CB2F89862,IT0005186371,1.0,12/08/2022
Ennismore Fund Management Limited,213800S2TA8P2U4L5P50,INDUSTRIE DE NORA SPA,815600CD933CB2F89862,IT0005186371,0.99,14/11/2022
Ennismore Fund Management Limited,213800S2TA8P2U4L5P50,INDUSTRIE DE NORA SPA,815600CD933CB2F89862,IT0005186371,0.87,17/11/2022
Ennismore Fund Management Limited,213800S2TA8P2U4L5P50,INDUSTRIE DE NORA SPA,815600CD933CB2F89862,IT0005186371,0.72,13/04/2023
Ennismore Fund Management Limited,213800S2TA8P2U4L5P50,INDUSTRIE DE NORA SPA,815600CD933CB2F89862,IT0005186371,0.67,29/11/2024
Ennismore Fund Management Limited,213800S2TA8P2U4L5P50,INDUSTRIE DE NORA SPA,815600CD933CB2F89862,IT0005186371,0.58,13/12/2024
Ennismore Fund Management Limited,213800S2TA8P2U4L5P50,INDUSTRIE DE NORA SPA,815600CD933CB2F89862,IT0005186371,0.45,09/04/2025
JPMorgan Asset Management (UK) Limited,20FULDKQMC7ZL80LYR79,INDUSTRIE DE NORA SPA,815600CD933CB2F89862,IT0005186371,0.55,19/03/2024
JPMorgan Asset Management (UK) Limited,20FULDKQMC7ZL80LYR79,INDUSTRIE DE NORA SPA,815600CD933CB2F89862,IT0005186371,0.62,21/03/2024
JPMorgan Asset Management (UK) Limited,20FULDKQMC7ZL80LYR79,INDUSTRIE DE NORA SPA,815600CD933CB2F89862,IT0005186371,0.7,28/03/2024
JPMorgan Asset Management (UK) Limited,20FULDKQMC7ZL80LYR79,INDUSTRIE DE NORA SPA,815600CD933CB2F89862,IT0005186371,0.69,03/04/2024
JPMorgan Asset Management (UK) Limited,20FULDKQMC7ZL80LYR79,INDUSTRIE DE NORA SPA,815600CD933CB2F89862,IT0005186371,0.59,17/09/2024
JPMorgan Asset Management (UK) Limited,20FULDKQMC7ZL80LYR79,INDUSTRIE DE NORA SPA,815600CD933CB2F89862,IT0005186371,0.46,15/11/2024
MARBLE BAR ASSET MANAGEMENT LLP,213800RUT3C1PCHUQP60,INDUSTRIE DE NORA SPA,815600CD933CB2F89862,IT0005186371,0.55,28/10/2022
MARBLE BAR ASSET MANAGEMENT LLP,213800RUT3C1PCHUQP60,INDUSTRIE DE NORA SPA,815600CD933CB2F89862,IT0005186371,0.62,31/10/2022
MARBLE BAR ASSET MANAGEMENT LLP,213800RUT3C1PCHUQP60,INDUSTRIE DE NORA SPA,815600CD933CB2F89862,IT0005186371,0.75,02/11/2022
MARBLE BAR ASSET MANAGEMENT LLP,213800RUT3C1PCHUQP60,INDUSTRIE DE NORA SPA,815600CD933CB2F89862,IT0005186371,0.83,03/11/2022
MARBLE BAR ASSET MANAGEMENT LLP,213800RUT3C1PCHUQP60,INDUSTRIE DE NORA SPA,815600CD933CB2F89862,IT0005186371,0.9,07/11/2022
MARBLE BAR ASSET MANAGEMENT LLP,213800RUT3C1PCHUQP60,INDUSTRIE DE NORA SPA,815600CD933CB2F89862,IT0005186371,1.02,09/11/2022
MARBLE BAR ASSET MANAGEMENT LLP,213800RUT3C1PCHUQP60,INDUSTRIE DE NORA SPA,815600CD933CB2F89862,IT0005186371,0.97,01/12/2022
MARBLE BAR ASSET MANAGEMENT LLP,213800RUT3C1PCHUQP60,INDUSTRIE DE NORA SPA,815600CD933CB2F89862,IT0005186371,0.75,18/01/2023
MARBLE BAR ASSET MANAGEMENT LLP,213800RUT3C1PCHUQP60,INDUSTRIE DE NORA SPA,815600CD933CB2F89862,IT0005186371,0.83,26/01/2023
MARBLE BAR ASSET MANAGEMENT LLP,213800RUT3C1PCHUQP60,INDUSTRIE DE NORA SPA,815600CD933CB2F89862,IT0005186371,0.92,30/01/2023
MARBLE BAR ASSET MANAGEMENT LLP,213800RUT3C1PCHUQP60,INDUSTRIE DE NORA SPA,815600CD933CB2F89862,IT0005186371,1.01,31/01/2023
MARBLE BAR ASSET MANAGEMENT LLP,213800RUT3C1PCHUQP60,INDUSTRIE DE NORA SPA,815600CD933CB2F89862,IT0005186371,1.14,09/02/2023
MARBLE BAR ASSET MANAGEMENT LLP,213800RUT3C1PCHUQP60,INDUSTRIE DE NORA SPA,815600CD933CB2F89862,IT0005186371,1.06,07/03/2023
MARBLE BAR ASSET MANAGEMENT LLP,213800RUT3C1PCHUQP60,INDUSTRIE DE NORA SPA,815600CD933CB2F89862,IT0005186371,1.12,10/03/2023
MARBLE BAR ASSET MANAGEMENT LLP,213800RUT3C1PCHUQP60,INDUSTRIE DE NORA SPA,815600CD933CB2F89862,IT0005186371,1.07,20/03/2023
MARBLE BAR ASSET MANAGEMENT LLP,213800RUT3C1PCHUQP60,INDUSTRIE DE NORA SPA,815600CD933CB2F89862,IT0005186371,1.12,23/03/2023
MARBLE BAR ASSET MANAGEMENT LLP,213800RUT3C1PCHUQP60,INDUSTRIE DE NORA SPA,815600CD933CB2F89862,IT0005186371,1.22,28/03/2023
MARBLE BAR ASSET MANAGEMENT LLP,213800RUT3C1PCHUQP60,INDUSTRIE DE NORA SPA,815600CD933CB2F89862,IT0005186371,1.31,31/03/2023
MARBLE BAR ASSET MANAGEMENT LLP,213800RUT3C1PCHUQP60,INDUSTRIE DE NORA SPA,815600CD933CB2F89862,IT0005186371,1.13,14/04/2023
MARBLE BAR ASSET MANAGEMENT LLP,213800RUT3C1PCHUQP60,INDUSTRIE DE NORA SPA,815600CD933CB2F89862,IT0005186371,1.08,23/05/2023
MARBLE BAR ASSET MANAGEMENT LLP,213800RUT3C1PCHUQP60,INDUSTRIE DE NORA SPA,815600CD933CB2F89862,IT0005186371,0.96,26/06/2023
MARBLE BAR ASSET MANAGEMENT LLP,213800RUT3C1PCHUQP60,INDUSTRIE DE NORA SPA,815600CD933CB2F89862,IT0005186371,0.88,10/07/2023
MARBLE BAR ASSET MANAGEMENT LLP,213800RUT3C1PCHUQP60,INDUSTRIE DE NORA SPA,815600CD933CB2F89862,IT0005186371,0.98,31/07/2023
MARBLE BAR ASSET MANAGEMENT LLP,213800RUT3C1PCHUQP60,INDUSTRIE DE NORA SPA,815600CD933CB2F89862,IT0005186371,1.0,17/10/2023
MARBLE BAR ASSET MANAGEMENT LLP,213800RUT3C1PCHUQP60,INDUSTRIE DE NORA SPA,815600CD933CB2F89862,IT0005186371,0.96,19/10/2023
MARBLE BAR ASSET MANAGEMENT LLP,213800RUT3C1PCHUQP60,INDUSTRIE DE NORA SPA,815600CD933CB2F89862,IT0005186371,1.0,23/10/2023
MARBLE BAR ASSET MANAGEMENT LLP,213800RUT3C1PCHUQP60,INDUSTRIE DE NORA SPA,815600CD933CB2F89862,IT0005186371,0.99,24/10/2023
MARBLE BAR ASSET MANAGEMENT LLP,213800RUT3C1PCHUQP60,INDUSTRIE DE NORA SPA,815600CD933CB2F89862,IT0005186371,0.78,08/11/2023
MARBLE BAR ASSET MANAGEMENT LLP,213800RUT3C1PCHUQP60,INDUSTRIE DE NORA SPA,815600CD933CB2F89862,IT0005186371,0.83,09/11/2023
MARBLE BAR ASSET MANAGEMENT LLP,213800RUT3C1PCHUQP60,INDUSTRIE DE NORA SPA,815600CD933CB2F89862,IT0005186371,0.78,14/11/2023
MARBLE BAR ASSET MANAGEMENT LLP,213800RUT3C1PCHUQP60,INDUSTRIE DE NORA SPA,815600CD933CB2F89862,IT0005186371,0.82,27/11/2023
MARBLE BAR ASSET MANAGEMENT LLP,213800RUT3C1PCHUQP60,INDUSTRIE DE NORA SPA,815600CD933CB2F89862,IT0005186371,0.9,18/12/2023
MARBLE BAR ASSET MANAGEMENT LLP,213800RUT3C1PCHUQP60,INDUSTRIE DE NORA SPA,815600CD933CB2F89862,IT0005186371,0.86,01/02/2024
MARBLE BAR ASSET MANAGEMENT LLP,213800RUT3C1PCHUQP60,INDUSTRIE DE NORA SPA,815600CD933CB2F89862,IT0005186371,0.78,14/02/2024
MARBLE BAR ASSET MANAGEMENT LLP,213800RUT3C1PCHUQP60,INDUSTRIE DE NORA SPA,815600CD933CB2F89862,IT0005186371,0.65,18/03/2024
MARBLE BAR ASSET MANAGEMENT LLP,213800RUT3C1PCHUQP60,INDUSTRIE DE NORA SPA,815600CD933CB2F89862,IT0005186371,0.53,19/03/2024
MARBLE BAR ASSET MANAGEMENT LLP,213800RUT3C1PCHUQP60,INDUSTRIE DE NORA SPA,815600CD933CB2F89862,IT0005186371,0.45,20/03/2024
"AQR Capital Management, LLC",549300GC5MDF1KXYMP06,INFRASTRUTTURE WIRELESS ITALIANE SPA - INWIT,81560066183FE361C071,IT0005090300,0.5,20/10/2020
"AQR Capital Management, LLC",549300GC5MDF1KXYMP06,INFRASTRUTTURE WIRELESS ITALIANE SPA - INWIT,81560066183FE361C071,IT0005090300,0.49,30/10/2020
"AQR Capital Management, LLC",549300GC5MDF1KXYMP06,INFRASTRUTTURE WIRELESS ITALIANE SPA - INWIT,81560066183FE361C071,IT0005090300,0.5,02/11/2020
"AQR Capital Management, LLC",549300GC5MDF1KXYMP06,INFRASTRUTTURE WIRELESS ITALIANE SPA - INWIT,81560066183FE361C071,IT0005090300,0.49,03/11/2020
CANADA PENSION PLAN INVESTMENT BOARD,70DNWEAINTGFO4DMV441,INFRASTRUTTURE WIRELESS ITALIANE SPA - INWIT,81560066183FE361C071,IT0005090300,0.53,15/04/2021
CANADA PENSION PLAN INVESTMENT BOARD,70DNWEAINTGFO4DMV441,INFRASTRUTTURE WIRELESS ITALIANE SPA - INWIT,81560066183FE361C071,IT0005090300,0.6,27/05/2021
CANADA PENSION PLAN INVESTMENT BOARD,70DNWEAINTGFO4DMV441,INFRASTRUTTURE WIRELESS ITALIANE SPA - INWIT,81560066183FE361C071,IT0005090300,0.59,07/06/2021
CANADA PENSION PLAN INVESTMENT BOARD,70DNWEAINTGFO4DMV441,INFRASTRUTTURE WIRELESS ITALIANE SPA - INWIT,81560066183FE361C071,IT0005090300,0.6,09/02/2022
CANADA PENSION PLAN INVESTMENT BOARD,70DNWEAINTGFO4DMV441,INFRASTRUTTURE WIRELESS ITALIANE SPA - INWIT,81560066183FE361C071,IT0005090300,0.59,08/04/2022
CANADA PENSION PLAN INVESTMENT BOARD,70DNWEAINTGFO4DMV441,INFRASTRUTTURE WIRELESS ITALIANE SPA - INWIT,81560066183FE361C071,IT0005090300,0.72,27/01/2023
CANADA PENSION PLAN INVESTMENT BOARD,70DNWEAINTGFO4DMV441,INFRASTRUTTURE WIRELESS ITALIANE SPA - INWIT,81560066183FE361C071,IT0005090300,0.66,27/03/2023
CANADA PENSION PLAN INVESTMENT BOARD,70DNWEAINTGFO4DMV441,INFRASTRUTTURE WIRELESS ITALIANE SPA - INWIT,81560066183FE361C071,IT0005090300,0.49,31/03/2023
CANADA PENSION PLAN INVESTMENT BOARD,70DNWEAINTGFO4DMV441,INFRASTRUTTURE WIRELESS ITALIANE SPA - INWIT,81560066183FE361C071,IT0005090300,0.5,05/07/2023
CANADA PENSION PLAN INVESTMENT BOARD,70DNWEAINTGFO4DMV441,INFRASTRUTTURE WIRELESS ITALIANE SPA - INWIT,81560066183FE361C071,IT0005090300,0.61,09/10/2023
CANADA PENSION PLAN INVESTMENT BOARD,70DNWEAINTGFO4DMV441,INFRASTRUTTURE WIRELESS ITALIANE SPA - INWIT,81560066183FE361C071,IT0005090300,0.7,13/10/2023
CANADA PENSION PLAN INVESTMENT BOARD,70DNWEAINTGFO4DMV441,INFRASTRUTTURE WIRELESS ITALIANE SPA - INWIT,81560066183FE361C071,IT0005090300,0.68,08/08/2024
CANADA PENSION PLAN INVESTMENT BOARD,70DNWEAINTGFO4DMV441,INFRASTRUTTURE WIRELESS ITALIANE SPA - INWIT,81560066183FE361C071,IT0005090300,0.59,19/08/2024
CANADA PENSION PLAN INVESTMENT BOARD,70DNWEAINTGFO4DMV441,INFRASTRUTTURE WIRELESS ITALIANE SPA - INWIT,81560066183FE361C071,IT0005090300,0.49,20/03/2025
CANADA PENSION PLAN INVESTMENT BOARD,70DNWEAINTGFO4DMV441,INFRASTRUTTURE WIRELESS ITALIANE SPA - INWIT,81560066183FE361C071,IT0005090300,0.53,24/03/2025
CANADA PENSION PLAN INVESTMENT BOARD,70DNWEAINTGFO4DMV441,INFRASTRUTTURE WIRELESS ITALIANE SPA - INWIT,81560066183FE361C071,IT0005090300,0.64,26/03/2025
CANADA PENSION PLAN INVESTMENT BOARD,70DNWEAINTGFO4DMV441,INFRASTRUTTURE WIRELESS ITALIANE SPA - INWIT,81560066183FE361C071,IT0005090300,0.57,14/04/2025
CANADA PENSION PLAN INVESTMENT BOARD,70DNWEAINTGFO4DMV441,INFRASTRUTTURE WIRELESS ITALIANE SPA - INWIT,81560066183FE361C071,IT0005090300,0.49,25/04/2025
Otus Capital Management,549300RDFPB0PPS6SV78,INTERPUMP GROUP SPA,815600C79D0F31F4D395,IT0001078911,0.63,01/11/2012
Otus Capital Management,549300RDFPB0PPS6SV78,INTERPUMP GROUP SPA,815600C79D0F31F4D395,IT0001078911,0.57,04/04/2013
Otus Capital Management,549300RDFPB0PPS6SV78,INTERPUMP GROUP SPA,815600C79D0F31F4D395,IT0001078911,0.37,08/04/2013
Otus Capital Management,549300RDFPB0PPS6SV78,INTERPUMP GROUP SPA,815600C79D0F31F4D395,IT0001078911,0.52,07/01/2016
Otus Capital Management,549300RDFPB0PPS6SV78,INTERPUMP GROUP SPA,815600C79D0F31F4D395,IT0001078911,0.6,21/01/2016
Otus Capital Management,549300RDFPB0PPS6SV78,INTERPUMP GROUP SPA,815600C79D0F31F4D395,IT0001078911,0.57,10/02/2016
Otus Capital Management,549300RDFPB0PPS6SV78,INTERPUMP GROUP SPA,815600C79D0F31F4D395,IT0001078911,0.48,11/02/2016
"WorldQuant, LLC",549300ARVD4LVNCUBN81,INTERPUMP GROUP SPA,815600C79D0F31F4D395,IT0001078911,0.5,14/09/2015
"WorldQuant, LLC",549300ARVD4LVNCUBN81,INTERPUMP GROUP SPA,815600C79D0F31F4D395,IT0001078911,0.49,16/09/2015
BNP PARIBAS SA,R0MUWSFPU8MPRO8K5P83,IREN SPA,8156001EBD33FD474E60,IT0003027817,0.55,19/09/2017
BNP PARIBAS SA,R0MUWSFPU8MPRO8K5P83,IREN SPA,8156001EBD33FD474E60,IT0003027817,0.6,13/10/2017
BNP PARIBAS SA,R0MUWSFPU8MPRO8K5P83,IREN SPA,8156001EBD33FD474E60,IT0003027817,0.56,16/10/2017
BNP PARIBAS SA,R0MUWSFPU8MPRO8K5P83,IREN SPA,8156001EBD33FD474E60,IT0003027817,0.63,18/10/2017
BNP PARIBAS SA,R0MUWSFPU8MPRO8K5P83,IREN SPA,8156001EBD33FD474E60,IT0003027817,0.57,24/10/2017
BNP PARIBAS SA,R0MUWSFPU8MPRO8K5P83,IREN SPA,8156001EBD33FD474E60,IT0003027817,0.6,25/10/2017
BNP PARIBAS SA,R0MUWSFPU8MPRO8K5P83,IREN SPA,8156001EBD33FD474E60,IT0003027817,0.9,03/11/2017
BNP PARIBAS SA,R0MUWSFPU8MPRO8K5P83,IREN SPA,8156001EBD33FD474E60,IT0003027817,0.87,07/11/2017
BNP PARIBAS SA,R0MUWSFPU8MPRO8K5P83,IREN SPA,8156001EBD33FD474E60,IT0003027817,0.9,27/11/2017
BNP PARIBAS SA,R0MUWSFPU8MPRO8K5P83,IREN SPA,8156001EBD33FD474E60,IT0003027817,0.85,30/11/2017
BNP PARIBAS SA,R0MUWSFPU8MPRO8K5P83,IREN SPA,8156001EBD33FD474E60,IT0003027817,0.9,13/12/2017
BNP PARIBAS SA,R0MUWSFPU8MPRO8K5P83,IREN SPA,8156001EBD33FD474E60,IT0003027817,0.29,29/12/2017
JPMorgan Asset Management (UK) Limited,20FULDKQMC7ZL80LYR79,ITALCEMENTI SPA FABBRICHE RIUNITE CEMENTO,8156009D23D0FDC70C93,IT0001465159,0.69,03/03/2015
JPMorgan Asset Management (UK) Limited,20FULDKQMC7ZL80LYR79,ITALCEMENTI SPA FABBRICHE RIUNITE CEMENTO,8156009D23D0FDC70C93,IT0001465159,0.45,12/03/2015
JPMorgan Asset Management (UK) Limited,20FULDKQMC7ZL80LYR79,ITALCEMENTI SPA FABBRICHE RIUNITE CEMENTO,8156009D23D0FDC70C93,IT0001465159,0.67,09/04/2015
JPMorgan Asset Management (UK) Limited,20FULDKQMC7ZL80LYR79,ITALCEMENTI SPA FABBRICHE RIUNITE CEMENTO,8156009D23D0FDC70C93,IT0001465159,0.76,11/06/2015
JPMorgan Asset Management (UK) Limited,20FULDKQMC7ZL80LYR79,ITALCEMENTI SPA FABBRICHE RIUNITE CEMENTO,8156009D23D0FDC70C93,IT0001465159,0.8,18/06/2015
JPMorgan Asset Management (UK) Limited,20FULDKQMC7ZL80LYR79,ITALCEMENTI SPA FABBRICHE RIUNITE CEMENTO,8156009D23D0FDC70C93,IT0001465159,0.0,29/07/2015
Psquared Asset Management AG,213800R5EKDBNQU86M37,ITALCEMENTI SPA FABBRICHE RIUNITE CEMENTO,8156009D23D0FDC70C93,IT0001465159,0.63,27/05/2016
Psquared Asset Management AG,213800R5EKDBNQU86M37,ITALCEMENTI SPA FABBRICHE RIUNITE CEMENTO,8156009D23D0FDC70C93,IT0001465159,0.31,22/06/2016
Psquared Asset Management AG,213800R5EKDBNQU86M37,ITALCEMENTI SPA FABBRICHE RIUNITE CEMENTO,8156009D23D0FDC70C93,IT0001465159,0.57,01/07/2016
Psquared Asset Management AG,213800R5EKDBNQU86M37,ITALCEMENTI SPA FABBRICHE RIUNITE CEMENTO,8156009D23D0FDC70C93,IT0001465159,0.28,04/07/2016
UBS Asset Management (UK) Ltd,549300SGDHJDHGZYMB20,ITALCEMENTI SPA FABBRICHE RIUNITE CEMENTO,8156009D23D0FDC70C93,IT0001465159,0.51,20/04/2015
UBS Asset Management (UK) Ltd,549300SGDHJDHGZYMB20,ITALCEMENTI SPA FABBRICHE RIUNITE CEMENTO,8156009D23D0FDC70C93,IT0001465159,0.64,27/05/2015
UBS Asset Management (UK) Ltd,549300SGDHJDHGZYMB20,ITALCEMENTI SPA FABBRICHE RIUNITE CEMENTO,8156009D23D0FDC70C93,IT0001465159,0.41,03/11/2015
CANADA PENSION PLAN INVESTMENT BOARD,70DNWEAINTGFO4DMV441,ITALGAS SPA,815600F25FF44EF1FA76,IT0005211237,0.58,05/03/2025
CANADA PENSION PLAN INVESTMENT BOARD,70DNWEAINTGFO4DMV441,ITALGAS SPA,815600F25FF44EF1FA76,IT0005211237,0.64,06/03/2025
CANADA PENSION PLAN INVESTMENT BOARD,70DNWEAINTGFO4DMV441,ITALGAS SPA,815600F25FF44EF1FA76,IT0005211237,0.74,07/03/2025
CANADA PENSION PLAN INVESTMENT BOARD,70DNWEAINTGFO4DMV441,ITALGAS SPA,815600F25FF44EF1FA76,IT0005211237,0.65,03/04/2025
CANADA PENSION PLAN INVESTMENT BOARD,70DNWEAINTGFO4DMV441,ITALGAS SPA,815600F25FF44EF1FA76,IT0005211237,0.48,04/04/2025
Clean Energy Transition LLP,5493000XZ1S1QNM4PD76,ITALGAS SPA,815600F25FF44EF1FA76,IT0005211237,0.57,23/09/2022
Clean Energy Transition LLP,5493000XZ1S1QNM4PD76,ITALGAS SPA,815600F25FF44EF1FA76,IT0005211237,0.48,28/11/2022
Clean Energy Transition LLP,5493000XZ1S1QNM4PD76,ITALGAS SPA,815600F25FF44EF1FA76,IT0005211237,0.5,01/03/2023
Clean Energy Transition LLP,5493000XZ1S1QNM4PD76,ITALGAS SPA,815600F25FF44EF1FA76,IT0005211237,0.49,03/04/2023
GLG PARTNERS LP,549300RJTS0EUAOPTJ96,ITALGAS SPA,815600F25FF44EF1FA76,IT0005211237,0.52,20/12/2017
GLG PARTNERS LP,549300RJTS0EUAOPTJ96,ITALGAS SPA,815600F25FF44EF1FA76,IT0005211237,0.61,07/02/2018
GLG PARTNERS LP,549300RJTS0EUAOPTJ96,ITALGAS SPA,815600F25FF44EF1FA76,IT0005211237,0.71,07/05/2018
GLG PARTNERS LP,549300RJTS0EUAOPTJ96,ITALGAS SPA,815600F25FF44EF1FA76,IT0005211237,0.66,29/05/2018
GLG PARTNERS LP,549300RJTS0EUAOPTJ96,ITALGAS SPA,815600F25FF44EF1FA76,IT0005211237,0.73,04/06/2018
GLG PARTNERS LP,549300RJTS0EUAOPTJ96,ITALGAS SPA,815600F25FF44EF1FA76,IT0005211237,0.69,08/08/2018
GLG PARTNERS LP,549300RJTS0EUAOPTJ96,ITALGAS SPA,815600F25FF44EF1FA76,IT0005211237,0.7,16/08/2018
GLG PARTNERS LP,549300RJTS0EUAOPTJ96,ITALGAS SPA,815600F25FF44EF1FA76,IT0005211237,0.33,20/08/2018
Lansdowne Partners (UK) LLP,549300ADEBO7HF4LSX14,ITALGAS SPA,815600F25FF44EF1FA76,IT0005211237,0.51,10/10/2018
Lansdowne Partners (UK) LLP,549300ADEBO7HF4LSX14,ITALGAS SPA,815600F25FF44EF1FA76,IT0005211237,0.68,15/10/2018
Lansdowne Partners (UK) LLP,549300ADEBO7HF4LSX14,ITALGAS SPA,815600F25FF44EF1FA76,IT0005211237,0.79,19/10/2018
Lansdowne Partners (UK) LLP,549300ADEBO7HF4LSX14,ITALGAS SPA,815600F25FF44EF1FA76,IT0005211237,0.84,30/11/2018
Lansdowne Partners (UK) LLP,549300ADEBO7HF4LSX14,ITALGAS SPA,815600F25FF44EF1FA76,IT0005211237,0.9,03/12/2018
Lansdowne Partners (UK) LLP,549300ADEBO7HF4LSX14,ITALGAS SPA,815600F25FF44EF1FA76,IT0005211237,0.83,12/12/2018
Lansdowne Partners (UK) LLP,549300ADEBO7HF4LSX14,ITALGAS SPA,815600F25FF44EF1FA76,IT0005211237,0.75,13/12/2018
Lansdowne Partners (UK) LLP,549300ADEBO7HF4LSX14,ITALGAS SPA,815600F25FF44EF1FA76,IT0005211237,0.63,08/01/2019
Lansdowne Partners (UK) LLP,549300ADEBO7HF4LSX14,ITALGAS SPA,815600F25FF44EF1FA76,IT0005211237,0.5,08/03/2019
Lansdowne Partners (UK) LLP,549300ADEBO7HF4LSX14,ITALGAS SPA,815600F25FF44EF1FA76,IT0005211237,0.43,11/03/2019
Lansdowne Partners (UK) LLP,549300ADEBO7HF4LSX14,ITALGAS SPA,815600F25FF44EF1FA76,IT0005211237,0.5,05/03/2020
Lansdowne Partners (UK) LLP,549300ADEBO7HF4LSX14,ITALGAS SPA,815600F25FF44EF1FA76,IT0005211237,0.6,09/03/2020
Lansdowne Partners (UK) LLP,549300ADEBO7HF4LSX14,ITALGAS SPA,815600F25FF44EF1FA76,IT0005211237,0.47,18/03/2020
Lansdowne Partners (UK) LLP,549300ADEBO7HF4LSX14,ITALGAS SPA,815600F25FF44EF1FA76,IT0005211237,0.53,04/02/2021
Lansdowne Partners (UK) LLP,549300ADEBO7HF4LSX14,ITALGAS SPA,815600F25FF44EF1FA76,IT0005211237,0.46,19/02/2021
Millennium Capital Partners LLP,549300X1IL2SQS14P736,ITALGAS SPA,815600F25FF44EF1FA76,IT0005211237,0.53,31/07/2024
Millennium Capital Partners LLP,549300X1IL2SQS14P736,ITALGAS SPA,815600F25FF44EF1FA76,IT0005211237,0.49,05/08/2024
Millennium Capital Partners LLP,549300X1IL2SQS14P736,ITALGAS SPA,815600F25FF44EF1FA76,IT0005211237,0.5,06/08/2024
Millennium Capital Partners LLP,549300X1IL2SQS14P736,ITALGAS SPA,815600F25FF44EF1FA76,IT0005211237,0.49,20/08/2024
Millennium Capital Partners LLP,549300X1IL2SQS14P736,ITALGAS SPA,815600F25FF44EF1FA76,IT0005211237,0.5,27/08/2024
Millennium Capital Partners LLP,549300X1IL2SQS14P736,ITALGAS SPA,815600F25FF44EF1FA76,IT0005211237,0.49,30/08/2024
Millennium Capital Partners LLP,549300X1IL2SQS14P736,ITALGAS SPA,815600F25FF44EF1FA76,IT0005211237,0.52,03/09/2024
Millennium Capital Partners LLP,549300X1IL2SQS14P736,ITALGAS SPA,815600F25FF44EF1FA76,IT0005211237,0.39,11/09/2024
Millennium Capital Partners LLP,549300X1IL2SQS14P736,ITALGAS SPA,815600F25FF44EF1FA76,IT0005211237,0.54,07/10/2024
